make,type,transmission,fuel,fuel_comb,emissions,engine(l),cylinder
ford,full_size,automatic_shift,x,11.5,270,3.5,6
honda,mid_size,manual,x,8,186,2,4
toyota,mid_size,continuously_variable,x,6.8,156,1.8,4
mazda,two_seater,automatic_shift,z,8,188,2,4
kia,van_wagon,automatic_shift,x,11.5,272,3.3,6
jaguar,compact,automatic_shift,z,8.5,200,2,4
infiniti,mid_size,automatic_shift,z,11.1,262,3,6
mercedes_benz,compact,automatic_shift,z,9,214,2,4
gmc,pickup,manual,x,10.7,251,2.5,4
chevrolet,compact,manual,x,7.2,168,1.4,4
mercedes_benz,two_seater,automatic,z,10,236,3,6
ford,other,automatic_shift,x,10.7,251,2.5,4
lexus,compact,automatic_shift,z,12.6,290,5,8
volkswagen,compact,automatic_shift,x,8.1,189,2,4
ford,other,automatic_shift,x,10.4,239,2.5,4
gmc,van_wagon,automatic,x,18.8,432,6,8
chevrolet,pickup,manual,x,10.7,251,2.5,4
gmc,suv,automatic,e,16.2,259,3.6,6
volkswagen,mid_size,automatic,d,6.9,180,2,4
chevrolet,compact,manual,z,14.7,349,6.2,8
toyota,pickup,automatic_shift,x,14.9,354,4.6,8
toyota,pickup,manual,x,12.7,299,3.5,6
volkswagen,compact,automatic,x,8.5,196,1.8,4
ford,compact,manual,x,13.3,312,5,8
jeep,suv,automatic,x,9.7,228,3.2,6
toyota,mid_size,continuously_variable,x,6,138,2.5,4
hyundai,compact,manual,x,7.6,175,1.6,4
audi,mid_size,automatic_shift,z,13.4,313,4,8
ford,pickup,automatic_shift,x,14.3,336,3.5,6
bmw,suv,automatic,z,11,253,3,6
mercedes_benz,suv,automatic,z,15.2,357,5.5,8
mercedes_benz,suv,automatic_shift,z,9.1,212,2,4
mercedes_benz,two_seater,automatic,z,13,303,5.5,8
volkswagen,van_wagon,automatic,d,7.4,198,2,4
volkswagen,van_wagon,manual,x,8.2,192,1.8,4
porsche,suv,automatic_shift,z,11.9,278,2.9,6
lexus,mid_size,automatic_shift,x,9.7,225,3.5,6
mercedes_benz,other,automatic_shift,z,10.5,248,2,4
porsche,two_seater,manual,z,10.8,249,2.5,4
honda,mid_size,continuously_variable,x,7.1,165,1.5,4
volkswagen,van_wagon,automated_manual,x,9.4,220,1.8,4
bmw,full_size,automatic_shift,z,8.9,208,2,4
chevrolet,suv,automatic_shift,x,8.2,196,1.4,4
nissan,suv,continuously_variable,x,8.8,202,2.5,4
porsche,suv,automatic_shift,z,14.1,329,4,8
audi,suv,automatic_shift,z,12.5,294,3,6
jeep,suv,automatic,x,8.7,204,1.3,4
bmw,compact,automatic_shift,z,10,235,3,6
porsche,full_size,automated_manual,z,10.9,255,3.6,6
nissan,mid_size,continuously_variable,x,8.1,190,2,4
porsche,compact,automated_manual,z,9.9,231,3,6
porsche,compact,manual,z,10.8,253,3.4,6
chevrolet,mid_size,automatic,z,9.1,213,2,4
mazda,suv,automatic_shift,x,8.2,192,2,4
ford,suv,automatic_shift,x,12.7,299,3.5,6
toyota,compact,automatic_shift,x,6.6,155,1.5,4
jeep,suv,automatic,x,10.8,248,3.2,6
jeep,suv,automatic,x,9.8,230,2.4,4
audi,compact,manual,z,8.8,204,2,4
jaguar,full_size,automatic_shift,z,11.9,280,3,6
dodge,full_size,automatic,x,13.3,312,5.7,8
lexus,compact,automatic_shift,z,10.8,254,3.5,6
ford,pickup,automatic_shift,x,12.8,294,3.5,6
ford,pickup,automatic_shift,x,14.8,347,5,8
nissan,mid_size,continuously_variable,x,7.3,172,1.8,4
dodge,suv,automatic,x,12.2,278,3.6,6
dodge,mid_size,automatic,x,9.2,212,2.4,4
porsche,compact,automated_manual,z,11.1,255,3.8,6
bmw,compact,automatic_shift,z,9.5,222,3,6
porsche,two_seater,automated_manual,z,9.8,225,3.4,6
infiniti,compact,automatic_shift,z,8.2,189,3.5,6
bmw,compact,automatic_shift,z,8.9,209,2,4
porsche,compact,manual,z,10.5,246,3,6
chevrolet,two_seater,manual,z,13.4,308,6.2,8
audi,suv,automated_manual,z,9.7,226,2,4
mini,compact,manual,z,8,184,1.6,4
dodge,mid_size,automatic,z,12.9,302,6.4,8
audi,mid_size,automatic_shift,z,10.9,255,2.9,6
dodge,mid_size,manual,z,13.9,325,6.4,8
audi,two_seater,manual,z,17.8,409,5.2,10
chevrolet,compact,automatic_shift,x,6.8,160,1.4,4
dodge,mid_size,automatic,z,14.7,338,6.2,8
honda,full_size,continuously_variable,x,7.2,168,1.5,4
porsche,suv,automatic,z,12.2,285,3,6
cadillac,full_size,automatic_shift,x,11.2,260,3.6,6
hyundai,suv,automated_manual,x,9.3,221,1.6,4
hyundai,full_size,automatic,x,9.6,221,2,4
lexus,suv,automatic_shift,x,11.1,268,3.5,6
porsche,compact,automated_manual,z,9.7,230,3,6
ford,pickup,automatic_shift,x,13.1,308,3.5,6
mazda,compact,automatic_shift,x,7.5,176,2,4
gmc,pickup,automatic,x,14,329,4.3,6
ford,suv,automatic_shift,x,9.8,225,2,4
chevrolet,van_wagon,automatic_shift,x,7.8,184,1.4,4
dodge,full_size,automatic,x,10.3,242,3.6,6
dodge,mid_size,automatic,x,10,230,2.4,4
gmc,suv,automatic,e,17.9,298,5.3,8
cadillac,suv,automatic,e,21.5,354,6.2,8
mercedes_benz,mid_size,automatic_shift,z,8.8,202,3.5,6
audi,full_size,automatic_shift,z,10.9,255,4,8
mercedes_benz,compact,automatic,z,11.7,277,4,8
honda,full_size,manual,x,7.9,185,1.5,4
cadillac,suv,automatic,z,14.1,331,6.2,8
lexus,compact,automatic_shift,z,11.2,262,3.5,6
nissan,pickup,automatic,x,13.7,322,4,6
ford,suv,automatic_shift,x,11.8,271,3.5,6
bmw,full_size,automatic_shift,z,12.8,294,4.4,8
audi,compact,automatic_shift,z,10.4,240,2,4
volkswagen,compact,automatic_shift,x,8.5,199,1.8,4
lexus,suv,automatic_shift,x,10.8,252,3.5,6
nissan,mid_size,continuously_variable,x,9,214,3.5,6
bmw,compact,manual,z,9.3,219,2,4
chevrolet,compact,manual,z,14.9,349,6.2,8
nissan,two_seater,manual,z,11.7,278,3.7,6
lexus,mid_size,continuously_variable,z,11.5,268,5,8
bmw,compact,automatic_shift,z,8.9,209,2,4
chevrolet,suv,automatic,x,13,305,5.3,8
chevrolet,van_wagon,automatic,x,19.8,465,6,8
chevrolet,pickup,automatic,e,18,294,4.3,6
mercedes_benz,two_seater,automatic_shift,z,12.4,298,5.5,8
dodge,mid_size,automatic,x,12.3,289,5.7,8
chevrolet,compact,continuously_variable,x,7.1,167,1.4,4
gmc,pickup,automatic,x,10.8,253,2.5,4
mini,compact,manual,z,9,210,2,4
mercedes_benz,other,automatic,z,10.7,251,2,4
porsche,compact,manual,z,10.8,248,3.8,6
audi,full_size,automatic_shift,z,11,258,4,8
mazda,suv,automatic_shift,x,9.3,217,2.5,4
gmc,pickup,automatic,x,12.7,297,5.3,8
chevrolet,pickup,automatic,x,12.5,294,4.3,6
toyota,mid_size,continuously_variable,x,7.4,178,1.8,4
bmw,compact,automatic_shift,z,9.7,224,3,6
jeep,suv,automatic,x,9.8,225,2.4,4
honda,van_wagon,continuously_variable,x,8.2,194,1.8,4
nissan,pickup,automatic,x,14,326,4,6
honda,pickup,automatic,x,11.2,264,3.5,6
nissan,van_wagon,continuously_variable,z,8.7,200,1.6,4
audi,mid_size,automated_manual,z,11.3,263,4,8
mercedes_benz,suv,automatic_shift,d,8.5,230,2.1,4
volvo,suv,automatic_shift,z,10.6,247,2,4
volkswagen,van_wagon,automatic_shift,x,8.2,192,1.8,4
porsche,two_seater,automated_manual,z,9.9,230,2.5,4
jeep,suv,manual,x,12.8,298,3.6,6
bmw,compact,automatic_shift,z,8.8,207,2,4
gmc,van_wagon,automatic,x,16.5,380,5.3,8
chevrolet,suv,automatic,x,9.8,225,2,4
mini,compact,manual,z,7.2,166,1.5,3
nissan,two_seater,automatic_shift,z,11.5,270,3.7,6
ford,pickup,automatic_shift,x,12,276,2.7,6
porsche,two_seater,automated_manual,z,10.6,249,2.5,4
audi,compact,automatic_shift,z,9.6,221,2,4
mercedes_benz,compact,automatic,z,9.7,213,3,6
porsche,compact,manual,z,10.4,242,3,6
mini,compact,manual,z,9,210,2,4
chevrolet,pickup,automatic,x,12.7,298,5.3,8
toyota,van_wagon,automatic_shift,x,11.2,267,3.5,6
gmc,pickup,automatic,e,17.1,284,4.3,6
cadillac,full_size,automatic_shift,z,12.6,290,3.6,6
mercedes_benz,compact,automatic,z,11.9,278,4.7,8
jeep,suv,manual,x,12.8,294,3.6,6
jeep,suv,automatic,x,10.8,248,3.2,6
toyota,compact,continuously_variable,x,6.7,158,2,4
kia,compact,automatic_shift,x,8.6,198,2,4
porsche,compact,automated_manual,z,10.1,232,3.4,6
nissan,compact,automated_manual,z,12.9,297,3.8,6
subaru,suv,continuously_variable,x,8.7,204,2.5,4
ford,compact,automatic_shift,x,7.5,176,1,3
chevrolet,pickup,automatic,x,12.2,286,5.3,8
volkswagen,compact,automatic_shift,x,8.4,196,1.8,4
mini,compact,automated_manual,z,7.4,174,1.5,3
gmc,pickup,automatic,x,13.9,327,5.3,8
ford,pickup,automatic_shift,e,18,288,3.7,6
chevrolet,suv,automatic,x,9.9,232,2.5,4
bmw,suv,automatic_shift,z,14.7,336,4.4,8
bmw,compact,automatic_shift,z,10,238,3,6
buick,mid_size,automatic_shift,x,11.5,264,3.6,6
jaguar,mid_size,automatic_shift,z,13.3,306,5,8
chevrolet,mid_size,manual,x,7.4,172,1.4,4
audi,compact,automated_manual,z,8.8,205,2,4
kia,suv,automatic_shift,x,10.7,246,2.4,4
volkswagen,van_wagon,manual,x,9.4,216,2.5,5
toyota,mid_size,continuously_variable,x,4.4,105,1.8,4
audi,full_size,automatic_shift,d,8.4,224,3,6
bmw,suv,automatic_shift,z,9.3,217,2,4
volvo,van_wagon,automatic_shift,x,8.4,193,2,4
bmw,compact,automatic_shift,z,11.5,269,4.4,8
volkswagen,compact,automated_manual,z,9.4,216,2,4
porsche,full_size,automated_manual,z,10.1,235,2.9,6
mini,compact,automatic_shift,z,9,207,1.6,4
jeep,suv,automatic,x,9.3,219,2.4,4
infiniti,suv,automatic_shift,z,12.8,301,3.7,6
jaguar,two_seater,automatic_shift,z,10.4,242,3,6
mazda,suv,automatic_shift,x,8.5,199,2,4
chevrolet,pickup,automatic,x,10.4,247,2.5,4
ford,compact,automatic_shift,x,12.9,303,5,8
chevrolet,suv,automatic,e,19.1,317,5.3,8
volvo,suv,automatic_shift,x,11.3,260,3.2,6
ford,van_wagon,automatic_shift,x,14.5,340,3.5,6
porsche,compact,automated_manual,z,10.4,248,3,6
toyota,pickup,manual,x,14,322,4,6
nissan,mid_size,continuously_variable,x,7.2,166,1.8,4
mercedes_benz,compact,automatic,z,12,282,4,8
gmc,van_wagon,automatic,x,16.5,380,5.3,8
chevrolet,suv,automatic,e,16.5,259,3.6,6
audi,compact,automated_manual,z,8.7,203,2,4
buick,mid_size,automatic_shift,e,15.9,254,3.6,6
gmc,suv,automatic,x,11.6,271,3.6,6
honda,mid_size,manual,x,10.9,251,3.5,6
audi,suv,automatic_shift,z,13.2,304,3,6
nissan,mid_size,continuously_variable,z,10.8,251,3.5,6
lexus,mid_size,automatic_shift,z,12.9,297,4.6,8
mini,mid_size,automatic_shift,z,9,212,2,4
bmw,compact,manual,z,10.3,240,3,6
volvo,van_wagon,automatic_shift,z,10.3,241,2,4
kia,mid_size,automatic_shift,x,5.6,132,2,4
bmw,van_wagon,automatic_shift,z,9.1,209,2,4
gmc,pickup,automatic,x,11.2,266,2.5,4
volvo,suv,automatic_shift,z,9.8,228,2,4
dodge,suv,automatic,z,15.6,363,6.4,8
dodge,suv,automatic,e,15.6,250,3.6,6
hyundai,compact,automated_manual,x,8.1,191,1.6,4
chevrolet,mid_size,continuously_variable,x,5.1,122,1.8,4
bmw,compact,automatic_shift,z,8.2,193,2,4
jeep,suv,automatic,x,13.4,308,3.6,6
chevrolet,pickup,automatic,x,12.7,298,5.3,8
mercedes_benz,compact,automatic_shift,z,10.2,239,3,6
chevrolet,pickup,automatic,x,12.6,296,5.3,8
chevrolet,compact,automatic_shift,z,12.2,282,6.2,8
chevrolet,full_size,automatic_shift,x,10.8,254,3.6,6
chevrolet,suv,automatic,x,8.6,207,1.5,4
gmc,suv,automatic,e,20.1,322,6.2,8
buick,suv,automatic,x,11.2,263,3.6,6
cadillac,full_size,automatic_shift,z,12.8,302,3.6,6
jeep,suv,manual,x,12.8,294,3.6,6
porsche,full_size,automated_manual,z,11.6,273,2.9,6
mercedes_benz,compact,automatic_shift,e,11.6,198,2,4
toyota,mid_size,automatic_shift,x,6.9,164,2.5,4
gmc,pickup,automatic,x,12.2,288,3.6,6
ford,pickup,automatic_shift,x,10.9,256,3.3,6
porsche,compact,automated_manual,z,11.5,271,3,6
jeep,suv,automatic,x,10,235,2.4,4
kia,compact,automatic_shift,x,7.6,175,1.6,4
buick,mid_size,automatic_shift,x,10,235,3.6,6
chevrolet,compact,manual,z,12.1,284,6.2,8
ford,mid_size,automatic_shift,x,8,184,1.5,4
mercedes_benz,compact,automatic,z,14,337,6,12
subaru,compact,automatic_shift,z,8.5,196,2,4
toyota,compact,continuously_variable,x,5.1,120,1.5,4
jeep,suv,automatic,x,9.3,223,2.4,4
volkswagen,compact,manual,d,6.9,184,2,4
dodge,mid_size,automatic,z,13,305,6.4,8
volvo,suv,automatic_shift,x,11.4,262,2.5,5
dodge,mid_size,manual,x,8,186,2,4
porsche,two_seater,manual,z,14.7,352,4,6
audi,van_wagon,automatic_shift,z,10,228,2,4
mini,compact,manual,z,7.4,174,1.5,3
chevrolet,pickup,automatic,e,18.4,306,5.3,8
dodge,van_wagon,automatic,e,16.5,264,3.6,6
kia,suv,automatic_shift,x,9.2,218,2.4,4
chevrolet,suv,automatic,x,13.3,312,5.3,8
chevrolet,pickup,automatic,x,15,350,5.3,8
hyundai,full_size,automated_manual,x,4.4,103,1.6,4
kia,mid_size,automatic_shift,x,6.2,143,2.4,4
lexus,suv,automatic_shift,z,9.7,226,2,4
jaguar,two_seater,automatic_shift,z,10.8,253,3,6
mazda,mid_size,manual,x,8.1,186,2.5,4
hyundai,suv,automatic,x,11.2,264,2,4
hyundai,full_size,manual,x,9.6,226,1.6,4
chevrolet,suv,automatic,e,18,300,5.3,8
subaru,mid_size,manual,x,9,210,2,4
cadillac,compact,automatic_shift,x,10,234,3.6,6
volvo,compact,automatic_shift,z,8.9,208,2,4
lexus,mid_size,automatic_shift,z,10.8,254,3.5,6
toyota,van_wagon,continuously_variable,x,5.7,135,1.8,4
mini,compact,automatic,z,8.7,200,1.6,4
bmw,van_wagon,automatic_shift,d,6.8,183,2,4
chevrolet,pickup,automatic,x,12.7,309,5.3,8
chevrolet,compact,manual,x,7.2,170,1.4,4
mercedes_benz,compact,automatic,z,9.5,222,2,4
gmc,suv,automatic,x,12.7,305,5.3,8
chevrolet,van_wagon,automatic,e,23.3,362,5.3,8
porsche,two_seater,automated_manual,z,9.4,219,2,4
volkswagen,compact,manual,x,9,207,2,4
mazda,compact,automatic_shift,x,7.7,179,2,4
chevrolet,compact,manual,d,6.3,170,1.6,4
chevrolet,suv,automatic,x,8.7,204,1.5,4
dodge,mid_size,automated_manual,x,7.2,171,1.4,4
cadillac,suv,automatic_shift,x,12.3,283,3.6,6
dodge,full_size,automatic,x,12.8,294,5.7,8
ford,compact,manual,x,8.3,196,2,4
ford,pickup,automatic_shift,x,11.8,277,2.7,6
ford,mid_size,manual,x,9.3,219,2,4
nissan,mid_size,continuously_variable,x,7.5,176,2.5,4
bmw,compact,automatic_shift,z,10.6,249,3,6
nissan,pickup,automatic,x,17.2,396,5.6,8
bmw,compact,automatic_shift,z,9.1,209,2,4
hyundai,mid_size,automatic_shift,x,6.1,143,2.4,4
gmc,van_wagon,automatic,x,18.8,432,6,8
audi,two_seater,automated_manual,z,14.7,347,5.2,10
chevrolet,compact,automatic_shift,x,7.2,172,1.4,4
jeep,suv,automatic,x,13.4,313,3.6,6
honda,mid_size,continuously_variable,x,7.8,182,2.4,4
mercedes_benz,compact,automatic,z,11.8,276,4,8
dodge,mid_size,automatic,x,9.2,212,2.4,4
honda,mid_size,continuously_variable,x,6.5,153,1.5,4
bmw,compact,manual,z,10.3,237,3,6
gmc,suv,automatic,x,13.4,314,5.3,8
ford,suv,automatic_shift,x,12.6,295,3.5,6
porsche,compact,automated_manual,z,9.8,230,3,6
hyundai,mid_size,automatic_shift,x,8.2,194,2,4
mini,mid_size,automatic_shift,z,9,210,2,4
mazda,suv,manual,x,8,184,2,4
toyota,mid_size,automatic_shift,x,8.2,192,2.5,4
lexus,compact,continuously_variable,x,5.7,132,1.8,4
jeep,pickup,manual,x,12.6,296,3.6,6
bmw,suv,automatic_shift,z,14.7,339,3,6
chevrolet,compact,manual,z,14.8,349,6.2,8
lexus,mid_size,continuously_variable,z,7.5,172,3.5,6
bmw,compact,automatic_shift,z,10,233,3,6
ford,pickup,automatic,e,16.5,278,3.5,6
chevrolet,compact,automatic_shift,z,15.4,361,6.2,8
bmw,compact,automatic,z,12.2,281,4.4,8
gmc,pickup,automatic,e,17.8,285,4.3,6
mercedes_benz,van_wagon,automated_manual,z,8.6,201,2,4
porsche,full_size,automated_manual,z,12.9,297,4.8,8
chevrolet,pickup,automatic,d,9.5,255,2.8,4
mini,compact,automatic_shift,z,8.3,196,2,4
jaguar,two_seater,manual,z,12.6,296,3,6
mercedes_benz,full_size,automatic,z,11.2,265,4,8
toyota,mid_size,automatic_shift,x,9.4,220,3.5,6
kia,van_wagon,automated_manual,x,5.4,129,1.6,4
dodge,mid_size,automatic,x,12.3,289,5.7,8
infiniti,van_wagon,automatic_shift,z,11.9,274,3.7,6
mercedes_benz,compact,automatic_shift,z,13.1,301,5.5,8
kia,full_size,manual,x,8.7,204,2,4
ford,pickup,automatic_shift,x,10.8,256,2.3,4
chevrolet,pickup,automatic,x,13.1,306,5.3,8
jaguar,full_size,automatic_shift,z,13.3,313,5,8
porsche,full_size,automated_manual,z,12.8,300,4.8,8
lexus,compact,continuously_variable,z,8.1,189,3.5,6
bmw,van_wagon,automatic,d,6.7,181,2,4
ford,pickup,automatic_shift,d,9.8,264,3,6
kia,full_size,manual,x,9.8,227,1.6,4
gmc,suv,automatic,x,12.1,285,3.6,6
porsche,compact,manual,z,10.4,242,3,6
ford,suv,automatic_shift,x,8.9,208,1.6,4
mercedes_benz,two_seater,automatic_shift,z,10.4,252,5.5,8
bmw,full_size,automatic,z,10.8,246,3,6
audi,mid_size,automatic,z,12.2,281,4,8
audi,compact,automated_manual,z,9,207,2,4
chevrolet,two_seater,manual,z,13.4,312,6.2,8
bmw,compact,automatic_shift,z,9.4,221,2,4
porsche,compact,manual,z,12.3,286,3,6
mazda,two_seater,manual,z,8.1,189,2,4
jeep,suv,automatic,x,9.5,222,2.4,4
porsche,compact,automated_manual,z,11.4,266,3.8,6
dodge,mid_size,manual,x,13.1,307,5.7,8
gmc,pickup,automatic,x,12.7,298,5.3,8
ford,pickup,automatic_shift,x,14.5,339,5,8
cadillac,compact,automatic_shift,z,9.2,215,2,4
toyota,mid_size,continuously_variable,x,5.9,137,2.5,4
porsche,two_seater,automated_manual,z,9.9,231,2.5,4
volvo,suv,automatic_shift,x,12,276,3,6
volkswagen,compact,manual,d,7.2,196,2,4
bmw,compact,automated_manual,z,12.4,290,3,6
ford,suv,automatic,x,9.8,225,2,4
toyota,suv,automatic_shift,x,10.3,240,3.5,6
kia,full_size,automatic_shift,z,13.3,317,5,8
hyundai,suv,automatic_shift,x,11.3,260,3.3,6
toyota,mid_size,automatic_shift,x,8.6,199,2.5,4
mercedes_benz,suv,automatic_shift,z,10,233,2,4
audi,compact,automated_manual,z,9.7,232,2,4
porsche,compact,automated_manual,z,11.2,266,3.8,6
nissan,van_wagon,continuously_variable,z,8.1,186,1.6,4
nissan,compact,manual,x,7.9,186,1.6,4
ford,suv,automatic_shift,x,11.3,266,2.3,4
bmw,compact,manual,z,8.7,200,2,4
toyota,suv,automatic_shift,x,10.6,250,3.5,6
dodge,full_size,automatic,x,12.3,289,5.7,8
chevrolet,pickup,automatic,z,14.7,357,6.2,8
kia,mid_size,automatic_shift,z,11.8,279,3.3,6
chevrolet,mid_size,automatic_shift,x,8.3,191,1.4,4
toyota,compact,continuously_variable,x,6.7,157,2,4
ford,suv,automatic_shift,x,9.6,226,2.5,4
ford,full_size,continuously_variable,x,5.9,138,2,4
buick,mid_size,automatic_shift,e,16.5,264,3.6,6
jeep,suv,manual,x,9.4,216,2.4,4
gmc,pickup,automatic,e,17.2,275,5.3,8
volvo,van_wagon,automatic_shift,x,9.3,220,2,4
porsche,two_seater,manual,z,10.7,250,3.4,6
subaru,suv,manual,x,9.4,220,2,4
hyundai,suv,automatic_shift,x,11.3,265,3.3,6
hyundai,full_size,automated_manual,x,8.6,205,1.6,4
jeep,suv,automatic,x,14.7,338,5.7,8
jeep,suv,automatic,x,9,214,2,4
ford,pickup,automatic_shift,e,19.7,315,5,8
chevrolet,compact,automatic_shift,z,9.5,222,2,4
ford,compact,automatic_shift,x,9.4,221,2.3,4
volvo,suv,automatic_shift,z,10,233,2,4
cadillac,full_size,automatic_shift,z,13.8,324,4.2,8
honda,suv,automatic_shift,x,11,257,3.5,6
audi,mid_size,automatic_shift,z,9.4,220,2,4
chevrolet,suv,automatic,x,12.6,290,3.6,6
hyundai,suv,automatic,x,9.3,214,2,4
subaru,mid_size,manual,x,9.4,220,2.5,4
nissan,suv,continuously_variable,x,11,259,3.5,6
subaru,compact,automatic_shift,z,8.6,200,2,4
hyundai,full_size,automatic,x,11.1,255,3.8,6
honda,compact,continuously_variable,x,6.8,158,1.5,4
kia,van_wagon,automatic_shift,x,8.8,208,2,4
ford,pickup,automatic_shift,e,18,300,5,8
ford,compact,automatic_shift,x,7.6,180,1.6,4
mini,compact,automatic_shift,z,8.4,193,2,4
gmc,suv,automatic,x,14.3,336,5.3,8
chevrolet,pickup,automatic,e,17.3,277,5.3,8
honda,suv,automatic,x,9.3,216,2.4,4
volkswagen,compact,automatic,d,7.4,198,2,4
subaru,suv,continuously_variable,x,7.6,177,2,4
jeep,suv,automatic,x,9.3,220,2.4,4
nissan,mid_size,continuously_variable,x,7.5,177,2.5,4
volvo,suv,automatic_shift,z,10.6,247,2,4
jeep,suv,automatic,x,9.7,230,1.3,4
subaru,compact,manual,z,12.2,281,2.5,4
hyundai,mid_size,continuously_variable,x,6.8,161,2,4
dodge,mid_size,manual,x,8.8,205,2.4,4
dodge,mid_size,automatic,z,14.5,339,6.2,8
gmc,pickup,automatic,x,13.9,326,5.3,8
toyota,suv,automatic_shift,x,13.8,321,4,6
cadillac,mid_size,automatic_shift,z,9.5,221,2,4
volkswagen,mid_size,automatic_shift,x,8.1,188,2,4
bmw,compact,manual,z,10.4,239,3,6
infiniti,mid_size,automatic_shift,z,11,253,3.7,6
infiniti,mid_size,automatic_shift,z,10.9,256,3,6
toyota,pickup,automatic_shift,x,11.7,283,3.5,6
gmc,suv,automatic,x,13,305,5.3,8
audi,compact,manual,z,9.1,209,2,4
hyundai,full_size,automatic_shift,x,8.6,204,2.4,4
mercedes_benz,compact,automatic,z,11.2,263,4,8
gmc,van_wagon,automatic,x,18.2,419,4.8,8
porsche,suv,automatic_shift,z,11.2,265,3,6
honda,mid_size,automatic_shift,x,9.6,221,3.5,6
toyota,mid_size,manual,x,7.6,178,1.8,4
chevrolet,suv,automatic_shift,x,10.6,244,2.4,4
gmc,pickup,automatic,x,12.5,294,4.3,6
porsche,compact,manual,z,10.4,242,3,6
nissan,suv,continuously_variable,x,8.5,196,2.5,4
mercedes_benz,compact,automatic_shift,z,10,233,3,6
volkswagen,van_wagon,automatic_shift,x,8.5,199,1.8,4
gmc,suv,automatic,x,13.4,314,5.3,8
audi,compact,automated_manual,z,9.5,222,2,4
honda,van_wagon,automatic,x,10.4,244,3.5,6
subaru,mid_size,automatic_shift,x,11.7,267,3.6,6
nissan,van_wagon,manual,x,9,216,2,4
chevrolet,full_size,automatic_shift,x,9.2,215,2.5,4
porsche,compact,manual,z,11,258,3,6
nissan,suv,continuously_variable,x,8.7,205,2.5,4
gmc,pickup,automatic,x,12.7,292,5.3,8
chevrolet,suv,automatic,e,18.7,319,5.3,8
gmc,van_wagon,automatic,e,25.9,414,6,8
jaguar,full_size,automatic_shift,z,13.3,306,5,8
nissan,suv,automatic,x,14.2,327,4,6
nissan,van_wagon,manual,z,8.3,191,1.6,4
audi,two_seater,automatic,z,10.3,237,2,4
porsche,compact,automated_manual,z,11.4,266,3.8,6
chevrolet,suv,manual,x,8.1,186,1.4,4
mercedes_benz,mid_size,automatic_shift,z,10.2,235,3.5,6
toyota,suv,continuously_variable,x,7.3,170,2.5,4
dodge,full_size,automatic,x,11,258,3.6,6
chevrolet,suv,automatic,z,10.4,246,2,4
toyota,compact,automatic_shift,x,8.2,189,2,4
ford,suv,automatic_shift,x,13.2,311,3.5,6
audi,compact,automated_manual,z,8.7,204,2,4
mercedes_benz,suv,automatic_shift,z,15.6,363,5.5,8
chevrolet,pickup,automatic,d,9.6,257,2.8,4
bmw,compact,automatic_shift,z,9.8,229,3,6
lexus,suv,continuously_variable,z,7.9,185,3.5,6
buick,full_size,automatic_shift,z,9.2,217,2,4
bmw,compact,automated_manual,z,12.7,299,3,6
cadillac,mid_size,automatic_shift,x,11.2,269,3.6,6
toyota,suv,automatic_shift,x,13.2,308,4,6
hyundai,full_size,automatic_shift,z,13.3,306,5,8
volvo,compact,automatic_shift,z,8.2,197,2,4
lexus,compact,automatic_shift,z,10.6,244,3.5,6
kia,mid_size,automatic,x,8.3,191,1.8,4
chevrolet,compact,manual,x,7.4,173,1.4,4
ford,pickup,automatic_shift,d,10.7,288,3,6
infiniti,compact,automatic_shift,z,11.5,264,3.7,6
volkswagen,compact,automatic_shift,x,8.1,189,2,4
nissan,suv,continuously_variable,x,11,257,3.5,6
kia,compact,manual,x,7.4,175,1.6,4
mazda,suv,automatic_shift,x,12.7,292,3.7,6
ford,pickup,automatic_shift,x,14.7,347,5,8
chevrolet,compact,manual,x,8,187,1.8,4
bmw,full_size,automatic_shift,z,10.2,238,3,6
chevrolet,van_wagon,automatic,e,21.5,344,5.3,8
buick,mid_size,automatic_shift,x,11.4,268,3.6,6
bmw,compact,automatic,z,8.8,202,2,4
jeep,suv,automatic,x,11.3,265,3.6,6
jaguar,suv,automatic_shift,z,9.7,227,2,4
bmw,compact,automatic_shift,z,9.7,229,3,6
cadillac,compact,automatic_shift,z,9.1,213,2,4
ford,compact,manual,x,13.8,324,5,8
kia,compact,automatic,x,7.6,175,1.6,4
volkswagen,compact,automated_manual,z,5.3,122,1.4,4
nissan,two_seater,manual,z,11.7,269,3.7,6
chevrolet,pickup,automatic,e,17.8,285,4.3,6
ford,pickup,automatic_shift,x,11.2,260,2.7,6
mercedes_benz,compact,automated_manual,z,9.2,217,2,4
subaru,compact,manual,z,9.6,221,2,4
kia,suv,automatic_shift,x,11.2,264,3.8,6
ford,pickup,automatic,x,12.2,293,3.5,6
buick,mid_size,manual,z,9.8,225,2,4
nissan,pickup,manual,x,13.5,317,4,6
subaru,compact,manual,z,10,235,2,4
gmc,suv,automatic,x,12.7,292,5.3,8
ford,mid_size,automatic_shift,x,8.1,186,1.5,4
mercedes_benz,compact,automatic_shift,z,9,212,2,4
chevrolet,suv,automatic,x,13,305,5.3,8
mercedes_benz,suv,automatic,z,11.3,265,3,6
audi,compact,automatic,z,11.4,262,3,6
toyota,suv,automatic_shift,x,10.6,247,3.5,6
honda,mid_size,continuously_variable,x,4.7,110,2,4
jeep,suv,manual,x,9.2,214,2,4
mini,compact,manual,z,7.5,172,1.6,4
