Course Name,category,sub Category,AVG Rating,number ratings,enrollment,last UPDATED,,lectures,duration,COST,COST2,discount,inst rating,inst review,inst student
Microsoft Power BI - A Complete Introduction [2020 EDITION],business,Finance,4.6,1609,12002,9/2020,,12,2h 16m,CAD$16.99,,69%,4.6,2124,14224
Goal Setting to Success: Life Coach Certification Accredited,music,Instruments,4.4,308,1417,9/2020,,172,22h 30m,CAD$31.99,,32%,4.5,2670,7612
IELTS Band 7+ Complete Prep Course,office productivity,Oracle,4.4,4944,19817,7/2017,,82,14h 48m,CAD$25.99,EUR38.19,88%,4.4,14384,63776
Palo Alto Firewalls Configuration By Example - PCNSE Prep,it software,IT Certification,4.4,21149,71047,5/2020,,685,80h 0m,CAD$16.99,,83%,4.5,46162,130166
gRPC [Golang] Master Class: Build Modern API & Microservices,it software,IT Certification,3.7,298,1420,6/2020,,268,30h 12m,,EUR11.38,51%,3.7,299,1420
Microsoft Python Certification Exam (98-381): Practice Tests,it software,Network & Security,3.9,143,1359,10/2020,,64,2h 26m,,EUR11.38,87%,4.2,1238,4929
How To Make Passive Income Online Within 14 Days From Today,design,3D & Animation,4.3,267,1241,8/2018,,30,2h 38m,CAD$21.99,,89%,4.1,692,6018
Quantitative Finance & Algorithmic Trading in Python,business,Data & Analytics,4.5,180,1516,10/2020,,54,3h 45m,CAD$16.99,,49%,4.3,3881,28152
The Agile Samurai Bootcamp,development,Databases,4.4,7882,28240,8/2018,,,3h 8m,,EUR12.05,91%,4.4,,40355
Learn Web Scraping with NodeJs in 2020 - The Crash Course,development,Development Tools,3.8,383,1895,9/2020,,429,90h 6m,CAD$19.99,,81%,3.8,398,1965
The Flask Mega-Tutorial (Python Web Development),development,Data Science,4.1,1034,6276,12/2019,,23,1h 6m,CAD$23.99,,84%,3.9,86364,1205315
COBIT 5 Foundation,it software,Other,4.2,131,615,7/2019,,274,21h 17m,CAD$21.99,,74%,4.4,561,1607
Critical Thinker Academy: Learn to Think Like a Philosopher,personal development,Religion & Spirituality,4.7,6650,25716,8/2017,,74,13h 42m,CAD$23.99,,88%,4.7,14176,43434
Commercial Real Estate Investing 101,business,Home Business,4.6,2273,13558,12/2015,,48,5h 37m,CAD$24.99,,92%,4.5,2439,13899
ITIL Foundation (2011) - Complete Course & 2 Practice Exams,it software,Operating Systems,3.3,319,1945,6/2020,,91,16h 37m,CAD$21.99,EUR14.73,69%,3.3,319,1946
Linux Academy Red Hat Certified Engineer Prep (RETIRED),it software,Network & Security,4.6,2374,10565,10/2020,,276,14h 27m,CAD$16.99,,69%,4.5,12682,48455
"Vacation Rental, AirBNB Management - from Beginner to Pro!",design,3D & Animation,4.4,404,1930,12/2019,,125,18h 46m,CAD$19.99,,89%,4.5,904,28761
Docker for Java Developers,development,Web Development,4.6,1972,10277,12/2018,,148,9h 56m,,EUR12.05,82%,4.5,13481,93689
CompTIA Security+ (SY0-501) Practice Exams with Simulations,it software,IT Certification,4.5,355,3238,9/2020,,286,13h 26m,,EUR133.99,89%,4.5,19007,52032
FreeRTOS From Ground Upâ„¢ on ARM Processors,it software,IT Certification,4.3,386,2250,10/2020,,229,4h 38m,CAD$16.99,,32%,4.2,7513,66526
AWS Lambda and the Serverless Framework - Hands On Learning!,it software,IT Certification,4.5,2284,12666,1/2020,,83,10h 0m,CAD$20.99,,51%,4.5,96839,652403
SAS Programming BASE certification course for SAS Beginners,it software,Other,4.5,6064,37806,12/2015,,15,1h 4m,CAD$16.99,,77%,4.4,164574,2168985
Salesforce Apex Programming Language,it software,Other,4.8,1320,5594,8/2020,,60,7h 35m,CAD$16.99,,71%,4.7,45475,209293
How to Work with Interior Design Styles Like a Pro,marketing,Social Media Marketing,4.3,9352,46822,3/2020,,52,5h 54m,CAD$20.99,,58%,4.2,10380,76739
Linux Administration Bootcamp: Go from Beginner to Advanced,it software,Other,4.2,649,2860,7/2020,,43,5h 16m,CAD$16.99,,85%,4.2,773,3520
Microsoft 70-742: Identity in Windows Server 2016,it software,Other,4.1,519,2154,9/2020,,52,7h 50m,CAD$17.99,,51%,4.3,2833,16352
Apache Kafka Series - Confluent Schema Registry & REST Proxy,development,Web Development,4.2,4379,25771,8/2018,,100,18h 30m,,EUR12.05,90%,4.5,193164,454193
Deep Learning with TensorFlow 2.0 [2020],development,Game Development,4.6,1431,10856,9/2019,,110,4h 0m,,EUR14.73,88%,4.7,13999,64522
Certification Holistic Health and Wellness Coaching,personal development,Creativity,4.3,1005,12931,3/2019,,63,9h 34m,CAD$51.99,EUR44.89,83%,4.2,9157,43836
Amazon Web Services (AWS) Certified - 4 Certifications!,it software,IT Certification,4,5592,43755,11/2017,,43,4h 54m,CAD$16.99,EUR11.38,92%,4.5,255212,681025
Deep Learning with Python and Keras,development,Software Engineering,4.6,2514,19992,10/2020,,58,4h 29m,,EUR13.39,88%,4.7,165671,562326
CCA 175 - Spark and Hadoop Developer Certification - Scala,it software,IT Certification,3.6,263,1008,1/2020,,699,78h 48m,CAD$16.99,,88%,4.1,47720,626911
Build Your Own RealTime OS (RTOS) From Ground Upâ„¢ on ARM 1,it software,Operating Systems,4.5,3235,14177,3/2020,,389,14h 35m,CAD$19.99,,92%,4.5,12682,48455
AutoCAD I The Complete Beginner Course From Autodesk Expert,photography,Commercial Photography,4.4,971,6871,1/2014,,68,9h 59m,CAD$17.99,,69%,4.4,971,6872
Complete Beginner's Guide to Digital Art,design,Graphic Design,4.7,14822,55128,2/2019,,168,22h 46m,CAD$23.99,,88%,4.7,94805,313051
Data Visualization on the Browser with Python and Bokeh,business,Data & Analytics,4.6,22419,82003,10/2020,,37,5h 29m,CAD$16.99,,66%,4.5,339445,1161819
PyTorch for Deep Learning and Computer Vision,development,Data Science,4.6,6018,29691,11/2019,,295,30h 26m,CAD$19.99,,92%,4.6,652986,1979353
Java Programming Masterclass for Software Developers,development,Development Tools,4.2,2820,17876,5/2020,,111,9h 0m,CAD$17.99,EUR48.24,76%,4.4,57590,425283
Build a Shopify Theme From Scratch,development,Web Development,4.7,1756,9182,10/2020,,92,9h 30m,CAD$23.99,,91%,4.6,258820,671113
Certified Information Systems Security Professional @2019,business,Finance,4.2,1957,12150,8/2020,,84,8h 52m,CAD$16.99,,87%,4.3,20011,121365
Build 15 Augmented Reality (AR) apps with Unity & Vuforia,development,Data Science,4.5,1954,13088,7/2020,,119,6h 38m,,EUR14.73,90%,4.6,100829,404454
Microsoft 365 SharePoint Sites,teaching academics,Language,4.3,329,7723,4/2020,,7,7h 50m,CAD$199.99,,49%,4.5,14266,56908
Content Marketing Masterclass: Create Content That Sells,personal development,Career Development,4.3,496,2081,9/2017,,18,1h 45m,CAD$16.99,EUR11.38,66%,4.3,496,2081
Tableau Certified Associate in 60 Minutes with Practice Exam,it software,IT Certification,4.5,94,588,3/2019,,172,23h 0m,CAD$16.99,,89%,4.1,47720,626817
Sales Machine: The Sales Training B2B Master Course,business,Finance,4.4,1096,6960,5/2020,,147,32h 57m,CAD$20.99,,92%,4.6,41632,113155
Arduino Programming For Beginners,development,Programming Languages,4.9,955,15698,7/2020,,132,20h 17m,CAD$21.99,,88%,4.8,6971,26296
70-740 Practice Test for MCSA 2016 (Latest Update July 2019),it software,IT Certification,3.9,44,414,8/2020,,88,4h 49m,,EUR133.99,67%,3.4,70,577
The Complete Product Management Course,business,Home Business,4.5,2102,11209,5/2020,,68,7h 58m,CAD$23.99,,89%,4.4,12178,50654
Pass your VMware VCP-6.5 (VCP-2019) DCV exam - PRACTICE TEST,it software,Network & Security,4.3,253,1424,5/2020,,81,6h 4m,CAD$16.99,,58%,3.9,739,19660
"Mastering Airbnb | Learn from SF's top host, 100+ lectures",teaching academics,Language,4.6,4025,16043,4/2020,,47,2h 41m,CAD$19.99,EUR12.73,88%,4.6,13835,62988
How to find a profitable niche (in under 1 hour),business,Operations,4.5,879,2198,9/2020,,75,6h 38m,CAD$21.99,,51%,4.6,25270,75615
SAP Quality Management - SAP QM - Training Course,photography,Video Design,4.5,6928,152798,9/2020,,127,12h 16m,CAD$17.99,EUR22.11,90%,4.5,245360,2011894
Travel Writing: Explore the World & Publish Your Stories!,teaching academics,Test Prep,4.5,18484,81134,10/2020,,56,14h 38m,CAD$28.99,EUR36.85,87%,4.5,23990,195050
Master Network Automation with Python for Network Engineers,development,Programming Languages,4.6,973,6167,10/2020,,69,13h 47m,CAD$16.99,,85%,4.5,17771,89738
Affinity Designer: The Complete Guide to Affinity Designer,marketing,Analytics & Automation,4.5,1492,8571,10/2020,,247,13h 10m,CAD$17.99,EUR12.05,49%,4.3,3881,28152
Build a Python REST API with the Django Rest Framework,development,Web Development,4.7,4507,19980,10/2020,,180,24h 25m,CAD$23.99,EUR16.07,82%,4.6,273723,1176351
Modern Copywriting: Writing copy that sells in 2020,lifestyle,Travel,4.1,737,10878,9/2020,,17,2h 13m,CAD$49.99,EUR33.49,88%,4.4,66705,546015
AZ-300/AZ-303 Azure Architecture Technologies Exam Prep 2020,it software,Other,4.4,2703,10733,10/2020,,55,5h 53m,CAD$16.99,,32%,4.5,35048,255012
Certification Stress Management Coaching CGRSC Stress Coach,business,Entrepreneurship,4.1,750,3284,6/2019,,213,23h 55m,CAD$16.99,,92%,4.1,1507,3876
Docker Certified Associate 2020,it software,Other,4.6,646,5785,8/2020,,81,6h 29m,,EUR11.38,90%,4.7,165670,562565
Typescript: The Complete Developer's Guide [2020],development,Mobile Apps,4.6,643,3870,8/2018,,38,4h 58m,CAD$17.99,,43%,4.5,42185,211210
Materialize CSS From Scratch With 5 Projects,development,Programming Languages,4.5,1943,13699,9/2020,,15,5h 50m,CAD$16.99,EUR11.38,51%,4.6,652986,1979353
Anger Management Techniques That Actually Work,photography,Digital Photography,4.4,1603,94105,8/2020,,59,11h 1m,CAD$19.99,,92%,4.5,245360,2011894
Firebase & Firestore Masterclass,development,Databases,4.4,536,6204,1/2019,,57,6h 38m,CAD$16.99,,84%,4.2,4695,37763
Scrum Master 1â„¢ Exam Prep - Pass on your FIRST try!,it software,Other,4.2,771,2790,7/2020,,17,1h 34m,,EUR14.06,83%,4.2,771,2790
The Real Estate Pro Forma Modeling Master Class,design,3D & Animation,4.6,20482,107143,6/2019,,73,10h 4m,CAD$17.99,,88%,4.6,34255,299936
,,,,,,,,,,,,,,,
Robust Scrum Product Owner,it software,IT Certification,4.4,2343,12121,4/2020,,57,4h 30m,CAD$16.99,EUR11.38,85%,4.4,16470,78878
Selenium WebDriver Masterclass with C#,it software,Other,4.3,6689,31496,2/2016,,92,11h 14m,CAD$16.99,,51%,4.3,6689,31496
Crash Course to pass the Microsoft 365 Fundamentals MS-900,business,Data & Analytics,4.5,5235,17747,2/2019,,56,6h 28m,CAD$17.99,,88%,4.5,24804,89898
QMS Auditor / Lead Auditor Course,business,Finance,4.6,6570,38984,1/2019,,111,8h 15m,CAD$16.99,,90%,4.5,339445,1162093
"ASP NET Core 3 (ASP.NET 5),MVC,C#,Angular & EF Crash Course",development,Web Development,4.3,25498,90300,4/2018,,139,7h 31m,CAD$23.99,,92%,4.5,193164,454193
Option Spreads and Credit Spreads Bundle,business,Operations,4.3,501,3415,10/2020,,38,4h 43m,CAD$19.99,,92%,4.2,6562,33473
Professional Technical Writing: Advance Your Writing Skills,business,Finance,4.1,2728,14665,7/2020,,33,4h 54m,CAD$16.99,,88%,4.2,6084,22778
The Foundations of Fiction (Writing Mastery),business,Human Resources,4.4,1072,3540,3/2018,,22,2h 25m,CAD$99.99,,83%,4.4,1578,5364
"SEO 2020 - Safe, Effective Search Engine Optimization",personal development,Personal Finance,4.5,4328,30251,9/2016,,42,2h 16m,CAD$17.99,,88%,4.5,4328,30255
Angular & NodeJS - The MEAN Stack Guide [2020 Edition],development,Data Science,4.7,1555,16828,10/2020,,166,27h 55m,CAD$21.99,,88%,4.6,31457,126550
Beginner to Pro in PowerPoint: Complete PowerPoint Training,business,Data & Analytics,4.5,2199,14541,6/2020,,19,50m,CAD$19.99,,92%,4.5,61441,190125
Sounds True Presents: Brainspotting,health fitness,Yoga,4.4,554,3167,10/2020,,57,3h 8m,CAD$24.99,,89%,4.3,875,4698
UiPath RPA - Level 2,design,3D & Animation,4.7,1594,7041,4/2020,,56,9h 3m,CAD$16.99,,90%,4.7,1615,7085
Learning Business Contracts for Beginners,business,Communications,4.4,2676,17071,9/2017,,47,6h 5m,CAD$16.99,,89%,4.3,6026,109004
The Complete Project Management PMPÂ® Certification Training.,it software,Other,4.3,11517,72554,8/2018,,137,14h 36m,CAD$19.99,,92%,4.3,35003,165574
Affiliate Marketing + SEO: Amazon Affiliate Marketing,business,Entrepreneurship,4.5,8111,45783,10/2020,,63,3h 51m,CAD$17.99,,78%,4.5,339446,1161819
Advanced Google Ads / AdWords Training - Updated for 2020,music,Instruments,4.6,262,1146,10/2020,,46,2h 3m,CAD$17.99,,86%,4.5,318,1195
R Programming For Absolute Beginners,development,Software Testing,4.3,3331,17294,4/2020,,120,16h 54m,,EUR12.05,88%,4.5,193164,454193
Automated Software Testing with Puppeteer [2020],it software,Network & Security,3.8,357,1183,1/2020,,32,3h 25m,CAD$16.99,,69%,4,465,1489
The Complete jQuery Course: From Beginner To Advanced!,development,Game Development,4.4,1469,9651,9/2020,,173,32h 1m,CAD$16.99,,79%,4.4,3509,23734
The NEW 2020 Marketing MASTERCLASS for Startups and Leaders,lifestyle,Beauty & Makeup,4.5,168,608,4/2020,,56,2h 59m,CAD$21.99,EUR14.73,85%,4.7,290,938
Adobe Premiere Pro CC: Video Editing in Adobe Premiere Pro,marketing,Content Marketing,4.5,1601,7478,9/2020,,37,22h 57m,CAD$16.99,,67%,4.4,8194,34037
,,,,,,,,,,,,,,,
Game Development/Art - Create a 2D Action Game with Unity/C#,development,Programming Languages,4.4,689,5376,9/2020,,144,8h 50m,CAD$16.99,,80%,4.1,8696,59170
The Complete Python Masterclass: Learn Python From Scratch,development,Mobile Apps,4.5,8603,54572,4/2020,,177,35h 1m,CAD$16.99,,88%,4.5,214431,811374
"5G, 4G-LTE, 3G, 2G Cellular Mobile Communications - Wireless",it software,IT Certification,4.2,575,2542,5/2017,,37,2h 57m,CAD$16.99,EUR11.38,92%,4.2,6092,47354
Computer Science 101: Master the Theory Behind Programming,development,Web Development,4.5,2740,74800,11/2017,,44,6h 39m,,EUR11.38,32%,4.3,25008,677882
Build Your Own First Person Shooter / Survival Game in Unity,development,Web Development,4.4,2644,15784,10/2020,,318,36h 15m,,EUR14.06,89%,4.6,258820,671113
2020 Practice Test AWS Solutions Architect Associate SAA C02,it software,IT Certification,4.5,928,6395,8/2018,,69,12h 45m,CAD$16.99,,88%,4.5,23032,113804
How Retargeting Worksâ€“The Complete Guide To Retargeting Ads!,teaching academics,Math,4.6,1392,15881,5/2017,,55,2h 24m,CAD$17.99,,91%,4.7,32198,125236
The Simplest Guideâ„¢ to Data Analysis with SAS *Base*Advanced,design,Game Design,4.5,1824,29898,7/2020,,62,2h 50m,CAD$21.99,,32%,4.5,21213,182870
Business Branding: The Complete Course Part 2 - Expression,music,Instruments,4.5,5127,47269,2/2017,,183,40h 7m,CAD$23.99,EUR16.07,66%,4.5,6355,93236
Go (Golang): The Complete Bootcamp,development,Software Testing,4.4,1009,4326,9/2020,,125,6h 40m,CAD$16.99,EUR11.38,80%,4.5,1938,6863
Teradata Fundamentals - Comprehensive SQL course on Teradata,development,Mobile Apps,4.5,1489,7871,10/2020,,82,11h 43m,CAD$16.99,EUR20.77,88%,4.6,273722,1176640
Microsoft PowerApps & Flow: Build Business Apps Without Code,development,Programming Languages,4.3,4208,26474,10/2020,,95,6h 34m,,EUR12.05,88%,4.4,23374,121576
How To Sing #2: Increase Vocal Range & Blend Registers,teaching academics,Language,4.1,90,954,7/2017,,118,11h 35m,CAD$23.99,,89%,4.1,90,954
C++ Digital Signal Processing (DSP) From Ground Upâ„¢,business,Communications,4.2,169,822,7/2020,,59,16h 31m,CAD$21.99,,84%,4.2,169,822
Online Japanese Kanji Character Courseï¼ˆAll 9 lessonsï¼‰,office productivity,Microsoft,4.6,9030,43257,9/2020,,307,27h 38m,CAD$16.99,EUR32.83,88%,4.7,46341,154096
MCSA Windows Server 2016 (70-740) Course,it software,IT Certification,4.3,276,3065,11/2019,,76,4h 14m,,EUR13.39,92%,4.5,19007,52032
Cluster Analysis and Unsupervised Machine Learning in Python,development,Programming Languages,4.5,9104,34469,4/2020,,58,17h 19m,CAD$28.99,,88%,4.5,60107,236203
Beginner to Pro in Excel: Financial Modeling and Valuation,business,Finance,4.2,1925,12557,6/2020,,39,6h 17m,CAD$16.99,,83%,4.3,11551,78519
Machine Learning A-Zâ„¢: Hands-On Python & R In Data Science,development,Programming Languages,4,3242,18632,2/2019,,272,32h 31m,,EUR22.1,89%,4.2,5658,32325
Powerpoint 2016 2019 - Master powerpoint presentation,music,Production,4.2,673,5110,7/2020,,299,7h 40m,CAD$16.99,EUR34.84,90%,4.5,3555,25197
Masterclass: Start your Coffee Shop Business!,business,Real Estate,4.1,523,1771,9/2020,,85,61h 50m,CAD$16.99,,87%,4.6,1169,2203
Motivation Coaching Certification GRCMC Motivation Coaching,business,Strategy,4.3,2365,6173,10/2020,,493,91h 5m,CAD$19.99,,84%,4.3,2515,7307
After Effects - Motion Graphics & Data Visualization,marketing,Content Marketing,4.3,2537,14252,8/2020,,63,2h 55m,CAD$20.99,,58%,4.3,12834,127212
Learn Swagger and the Open API Specification,it software,IT Certification,4.4,833,6406,7/2020,,158,22h 46m,CAD$21.99,,88%,4.5,19007,52026
How To Build Tinder with React Native & Expo,development,Mobile Apps,4.1,885,4798,6/2018,,30,3h 21m,CAD$20.99,,87%,4.4,4657,35900
How to Rap: Fundamentals,personal development,Personal Transformation,4.6,6307,33059,9/2020,,198,10h 17m,CAD$27.99,EUR24.79,89%,4.7,56917,177121
GRE Math Prep Course | The A - Z on GRE Math Topic by Topic,teaching academics,Math,4.2,1310,9010,9/2020,,206,12h 46m,CAD$129.99,EUR31.49,32%,4.3,11837,65443
Options Trading Basics (3-Course Bundle),business,Management,4.1,3411,83265,10/2020,,72,5h 46m,CAD$16.99,,88%,4.4,30512,320298
Deluge on a Luge: Learn Zoho Programming,development,Data Science,4.6,551,5425,6/2020,,56,11h 20m,CAD$38.99,EUR30.15,92%,4.5,14112,186805
Certified Six Sigma Green Belt (+ Excel Application),it software,IT Certification,4.5,9136,27465,3/2018,,266,13h 49m,CAD$16.99,,32%,4.5,96839,652565
Business Development & B2B Sales for Startups- Sales Valley,business,Entrepreneurship,4.6,3617,19969,7/2020,,74,8h 56m,CAD$23.99,,88%,4.6,4053,28677
Advanced Storyboarding for Film & Animation,office productivity,Oracle,4.3,4445,22264,7/2018,,132,10h 0m,CAD$21.99,,60%,4.4,39566,149847
200-301 Cisco Certified Network Associate - Exam Simulations,it software,Network & Security,3.8,139,1801,7/2020,,55,6h 21m,CAD$27.99,,91%,4,1338,6872
Adobe InDesign CC Complete Masterclass: Learn Adobe InDesign,marketing,Social Media Marketing,4.4,2951,15874,1/2020,,38,2h 41m,CAD$19.99,,78%,4.4,170633,918295
Exam MS-100: Managing Office 365 Identities and Requirements,business,Home Business,4.6,19723,73767,7/2020,,98,4h 55m,CAD$19.99,,88%,4.5,31511,125818
Ultimate Google Ads Training 2020: Profit with Pay Per Click,teaching academics,Language,4.5,1692,12012,10/2020,,29,2h 43m,CAD$17.99,,88%,4.4,4091,72078
Reverse Engineering and Exploit Development,it software,IT Certification,4.4,2636,11940,10/2020,,124,27h 4m,CAD$21.99,,92%,4.4,3289,15474
HMI Programming & Design - FactoryTalk View ME SCADA PLC,development,Data Science,4.5,78224,329517,9/2020,,25,2h 19m,CAD$16.99,,69%,4.5,339445,1162093
Six Sigma Green Belt,it software,IT Certification,4.4,550,2840,9/2019,,34,7h 40m,CAD$19.99,,62%,4.2,6092,47361
Data Warehouse Development Process,it software,Other,4.6,20946,66899,10/2020,,25,3h 18m,CAD$16.99,EUR11.38,69%,4.6,25270,75604
The Complete JavaScript Course - Beginner to Professional,development,Software Testing,4.1,3885,19768,3/2020,,37,5h 57m,,EUR11.38,89%,4.1,14366,135828
Radiate Confidence: How to Create a 1000 Watt Presence,teaching academics,Language,4.6,3805,18996,10/2020,,36,2h 44m,CAD$17.99,,86%,4.5,14266,56908
Pitch Yourself! Learn to Ignite Curiosity + Inspire Action.,lifestyle,Gaming,4.3,362,5179,6/2020,,82,16h 3m,CAD$17.99,,84%,4.5,13415,64047
The Agile and Scrum Complete Blueprint,business,Finance,4.3,1100,2017,11/2019,,38,5h 35m,CAD$16.99,,84%,4.3,1100,2017
The Complete Google Sheets Course: Beginner to Advanced!,design,Design Thinking,4.2,1813,20081,6/2020,,63,3h 19m,CAD$19.99,,91%,4.3,14830,132908
"Copywriting - Become a Freelance Copywriter, your own boss",photography,Commercial Photography,4.4,2790,16567,8/2020,,13,2h 59m,CAD$16.99,,62%,4.5,4842,33727
YOLO v3 - Robust Deep Learning Object Detection in 1 hour,development,Web Development,4.7,2105,10593,10/2020,,369,60h 7m,CAD$19.99,,84%,4.7,282312,864975
Game Writing: Storytelling through Video Game Design,marketing,Other,4.3,1139,6646,5/2020,,117,15h 41m,CAD$23.99,,86%,4.4,170633,918295
Blender 2.8 Character Creation,lifestyle,Pet Care & Training,4.7,1714,14878,9/2017,,14,2h 51m,CAD$20.99,,90%,4.4,11708,47221
Start a Successful Social Media Marketing Agency from Home,business,Project Management,4.4,5951,16657,7/2020,,31,2h 49m,CAD$17.99,,91%,4.4,18947,60738
Deep Reinforcement Learning 2.0,it software,IT Certification,4.5,24464,102784,8/2018,,99,21h 23m,CAD$16.99,,88%,4.6,45368,278078
Python 3 Network Programming - Build 5 Network Applications,development,Databases,4.2,1206,5823,2/2017,,21,2h 23m,CAD$16.99,,90%,4.2,1206,5823
Design Thinking in 3 Steps,marketing,Search Engine Optimization,4.5,538,5127,4/2020,,28,5h 37m,CAD$17.99,,81%,4.5,21876,104580
Google Cloud - Professional Data Engineer Practice Exams,business,Communications,4.3,628,1927,7/2020,,91,14h 25m,CAD$17.99,,72%,4.3,881,3900
The Ultimate ClickFunnels Training Course + FREE Funnels!,personal development,Parenting & Relationships,4.6,5787,47165,6/2015,,19,4h 54m,CAD$27.99,EUR18.75,76%,4.6,54164,321494
,,,,,,,,,,,,,,,
Joke Writing Made Simple,business,Finance,4.2,1373,16970,7/2020,,76,4h 49m,CAD$19.99,,89%,4.5,22767,215506
Build Data Visualizations with D3.js & Firebase,development,Programming Languages,4.2,1488,9068,7/2020,,66,4h 58m,CAD$16.99,,88%,4.2,5658,32319
PHP OOP: Object Oriented Programming for beginners + Project,development,Game Development,4.1,4097,36908,11/2018,,253,35h 26m,CAD$21.99,EUR44.22,90%,4.3,9185,98316
The Complete Affinity Designer for iPad Course,teaching academics,Language,4.8,65,1863,7/2020,,104,6h 33m,CAD$16.99,,85%,4.6,1276,9598
Develop Amazing Social Skills & Connect With People,business,Finance,4.7,941,5390,10/2020,,36,1h 52m,CAD$16.99,,89%,4.6,41632,113155
SQL Server Administration Part1,development,Data Science,4.5,22817,135231,9/2020,,111,14h 14m,CAD$23.99,EUR44.22,90%,4.5,89865,405914
ProCreate Masterclass: How to Draw and Paint on iPad Course,personal development,Influence,4.4,15781,55157,7/2017,,52,4h 34m,CAD$16.99,,73%,4.5,51862,367658
Salesforce Lightning 2020 Certified Administrator Part 3,business,Data & Analytics,4.5,1067,26971,5/2017,,67,8h 43m,CAD$19.99,,60%,4.4,5093,173507
Microsoft Excel - From Beginner to Expert in 6 Hours,personal development,Memory & Study Skills,4.4,360,11458,4/2020,,80,12h 31m,CAD$21.99,,85%,4.3,413,20698
Create Your Own Automated Stock Trading Robot In EXCEL!,business,Data & Analytics,4.3,804,2790,1/2019,,97,14h 42m,CAD$17.99,,90%,4.4,5832,20906
The Complete SQL Server For Beginners,development,Mobile Apps,4.3,286,1227,6/2018,,66,10h 7m,CAD$16.99,EUR11.38,87%,4.6,1084,3267
Certified Six Sigma Green Belt (+ Excel Application),business,Finance,4.7,395,4231,10/2020,,26,2h 6m,CAD$19.99,,68%,4.6,8745,29901
TOTAL: CompTIA PenTest+ (Ethical Hacking) + 2 FREE Tests.,it software,IT Certification,4.5,4724,24638,5/2020,,80,4h 31m,,EUR13.39,85%,4.6,63201,251339
SDET/Test Architect Essentials -Road to Full stack QA,development,Web Development,4.6,1649,8237,1/2020,,42,4h 23m,CAD$16.99,,85%,4.6,273722,1176351
Chair Yoga for Seniors & Beginners,office productivity,Microsoft,4.5,3545,15080,5/2020,,38,3h 30m,CAD$16.99,EUR46.9,88%,4.4,17955,87916
Embedded Systems Bare-Metal Programming Ground Upâ„¢ (STM32),development,Software Engineering,4.6,2958,14004,10/2020,,87,7h 43m,CAD$16.99,EUR17.42,88%,4.5,8330,78088
Master ASP.NET Core 3.1 Razor Pages,development,Software Testing,4.5,538,3566,1/2020,,95,15h 21m,CAD$21.99,,62%,4.2,19299,214061
Blockchain A-Zâ„¢: Learn How To Build Your First Blockchain,design,Interior Design,4.1,938,4625,5/2020,,9,42m,CAD$17.99,,89%,4.1,946,4652
The Procreate 4.1 Super Course,teaching academics,Language,4.2,5520,33344,11/2017,,28,3h 34m,CAD$17.99,,84%,4.3,6453,58939
Complete Step By Step Java For Testers,development,Programming Languages,4.6,5784,20878,12/2016,,165,11h 49m,CAD$21.99,,32%,4.6,5784,20878
Complete STATA Workflow + Tips,business,Operations,4.4,7926,30112,9/2020,,125,25h 58m,CAD$17.99,,32%,4.4,31525,74271
CISSP Certification: CISSP Domain 5 & 6 Video Boot Camp 2020,it software,IT Certification,4.4,1624,18819,7/2020,,194,23h 44m,CAD$21.99,,92%,4.6,100190,314001
The Complete Agile Scrum Fundamentals Course + Certification,it software,Other,4.5,2155,7603,10/2020,,165,14h 53m,,EUR18.75,67%,4.5,3231,15093
Master Python Programming: The Complete Python Bootcamp 2020,development,Data Science,4.5,1209,7197,10/2020,,63,7h 10m,CAD$21.99,,90%,4.5,10647,101757
Learn C# By Building Applications,development,Web Development,4.7,61471,205536,10/2020,,559,52h 21m,CAD$21.99,EUR20.77,88%,4.6,258820,671113
Concept Art Architecture,marketing,Digital Marketing,4.5,2429,34482,10/2020,,18,52m,CAD$16.99,,90%,4.4,16161,196037
Apache Kafka Series - Kafka Cluster Setup & Administration,it software,IT Certification,4.4,2848,12920,10/2020,,77,7h 2m,CAD$16.99,,62%,4.5,23032,113804
The Rust Programming Language,development,Web Development,4.7,184528,601069,10/2020,,604,61h 32m,CAD$16.99,EUR47.57,84%,4.7,282312,865160
"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",development,Web Development,4.5,668,3556,7/2020,,127,13h 16m,,EUR11.38,88%,3.9,4521,16952
"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",development,Web Development,4.3,287,1285,10/2020,,467,62h 16m,CAD$16.99,,43%,4.4,7731,32824
AZ-900: Microsoft Azure Fundamentals Exam Prep -Sept 2020,business,Project Management,4.5,730,5110,10/2020,,160,8h 51m,CAD$17.99,,82%,4.5,119842,393060
Photoshop Master Course: From Beginner to Photoshop Pro,design,3D & Animation,4.5,3394,22320,12/2019,,59,4h 56m,CAD$16.99,,73%,4.5,65191,266879
Data Processing with Python,development,Web Development,4.3,1411,31736,10/2020,,99,19h 40m,CAD$17.99,EUR12.05,88%,4.4,66705,546015
Mac Numbers: Creating and Using Spreadsheets On Your Mac,teaching academics,Social Science,4.4,1659,6587,6/2020,,63,76h 59m,CAD$19.99,,89%,4.4,16852,53475
"Creative CSS Animations, Transitions And Transforms Course",development,Web Development,4.8,1110,13521,10/2020,,99,12h 28m,CAD$19.99,,87%,4.8,9493,38555
